sample_id,Sample ID,Qubit DNA conc. (ng/ul),TapeStation 75-300bp conc (pg/ul),TapeStation %cfDNA,NGS Worksheet,run_id
22M92078,SeraSeq Complete 0.5%,14.7,8200,89.44,23-2695,230612_A01771_0236_BHKGJLDMXY
22M92078,SeraSeq Complete 0.5%,14.7,8200,89.44,23-2802,230619_A00748_0409_AHKGHLDMXY
22M92078,SeraSeq Complete 0.5%,14.7,8200,89.44,23-2956,230626_A00748_0412_AHKGJ2DMXY
22M92078,SeraSeq Complete 0.5%,14.7,8200,89.44,23-3698,230807_A00748_0427_AHKGNWDMXY
22M92078,SeraSeq Complete 0.5%,14.7,8200,89.44,23-3951,230821_A01771_0279_BHKMYHDMXY
22M92078,SeraSeq Complete 0.5%,14.7,8200,89.44,23-4706,231009_A01771_0309_AHMKF3DMXY
23M21403,SeraSeq Complete 0.5%,(10ng/ul),13100,91.04,23-5204,231030_A00748_0467_AHMKF2DMXY
23M21403,SeraSeq Complete 0.5%,(10ng/ul),13100,91.04,23-6126,231218_A01771_0353_BHMKC2DMXY
23M21403,SeraSeq Complete 0.5%,(10ng/ul),13100,91.04,23-6178,231221_A00748_0492_AHNFYCDMXY
23M21403,SeraSeq Complete 0.5%,(10ng/ul),13100,91.04,24-220,240115_A01771_0367_BHNHYCDMXY
23M21403,SeraSeq Complete 0.5%,(10ng/ul),13100,91.04,24-855,240219_A01771_0392_BHNF7JDMXY
23M21403,SeraSeq Complete 0.5%,(10ng/ul),13100,91.04,24-1307,240415_A01771_0429_BHTJCMDMXY
23M21403,SeraSeq Complete 0.5%,(10ng/ul),13100,91.04,24-1833,240415_A01771_0429_BHTJCMDMXY
23M21403,SeraSeq Complete 0.5%,(10ng/ul),13100,91.04,24-2354,240515_A01771_0444_BHTJNYDMXY
23M21403,SeraSeq Complete 0.5%,(10ng/ul),13100,91.04,24-2995,240617_A01771_0466_AHGTL2DSXC
23M21403,SeraSeq Complete 0.5%,(10ng/ul),13100,91.04,24-3557,240718_A01771_0483_BHHWGHDSXC
23M21403,SeraSeq Complete 0.5%,(10ng/ul),13100,91.04,24-3990,240812_A01771_0500_AHJWWGDSXC
23M21403,SeraSeq Complete 0.5%,(10ng/ul),13100,91.04,24-4872,241003_A00748_0601_AHL7G7DSXC
23M21403,SeraSeq Complete 0.5%,(10ng/ul),13100,91.04,24-4924,241007_A01771_0536_AHVLNTDMXY
23M21403,SeraSeq Complete 0.5%,(10ng/ul),13100,91.04,24-5406,241106_A00748_0624_BHW5JFDMXY
25M06267,,,,,25-1603,250410_A01771_0624_AH2VG7DSXF
25M06267,,,,,25-3287,250721_A01771_0689_BH3GM2DMX2
